,price,location,area,Bedrooms,Bathrooms
117,2700000.0,"Chipiyana Buzurg, Ghaziabad, Delhi NCR",624.0,2.0,2.0
118,5000000.0,"Chiranjeev Vihar, Ghaziabad, Delhi NCR",1471.0,3.0,3.0
119,3400000.0,"Chiranjeev Vihar, Ghaziabad, Delhi NCR",950.0,3.0,2.0
120,3200000.0,"Chiranjiv Vihar, Ghaziabad, Delhi NCR",950.0,2.0,2.0
121,26000000.0,"Chittaranjan Park, New Delhi - South, Delhi NCR",1800.0,3.0,3.0
122,10000000.0,"Civil Lines, Gurgaon, Delhi NCR",1420.0,3.0,3.0
123,5500000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1685.0,3.0,2.0
124,5400000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1600.0,3.0,3.0
125,5000000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1295.0,2.0,2.0
126,4500000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1425.0,2.0,2.0
127,6000000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1680.0,3.0,3.0
128,5500000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1635.0,3.0,2.0
129,6000000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1700.0,3.0,2.0
130,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1254.0,2.0,2.0
131,3900000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1105.0,2.0,2.0
132,5800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1730.0,3.0,3.0
133,3800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1235.0,2.0,2.0
134,5400000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1700.0,3.0,3.0
135,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1250.0,2.0,2.0
136,4000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1150.0,2.0,2.0
137,4670000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1320.0,3.0,2.0
138,4600000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1400.0,2.0,2.0
139,3300000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1075.0,2.0,2.0
140,6500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1810.0,3.0,3.0
141,6500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1810.0,3.0,3.0
142,4520000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1450.0,2.0,2.0
143,6000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1750.0,3.0,3.0
144,3450000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1075.0,2.0,2.0
145,6500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1810.0,3.0,3.0
146,5000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1610.0,3.0,2.0
147,5500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1725.0,3.0,3.0
148,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1250.0,2.0,2.0
149,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1275.0,3.0,2.0
150,4300000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1200.0,2.0,2.0
151,5000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1425.0,2.0,2.0
152,4800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1600.0,3.0,3.0
153,4800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1680.0,3.0,3.0
154,3050000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1000.0,2.0,2.0
155,4800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1660.0,3.0,3.0
156,5500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1680.0,3.0,2.0
157,3700000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1260.0,2.0,2.0
158,3900000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1270.0,2.0,2.0
159,5500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1725.0,3.0,2.0
160,3500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1150.0,2.0,2.0
161,4200000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1295.0,2.0,2.0
162,5630000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1600.0,3.0,3.0
163,5000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1550.0,3.0,3.0
164,4600000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1425.0,3.0,2.0
165,3800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1120.0,2.0,2.0
166,5800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1750.0,4.0,3.0
167,5000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1600.0,3.0,2.0
168,3900000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1275.0,2.0,2.0
169,4200000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1250.0,2.0,2.0
170,4070000.000000001,"Crossings Republik, Ghaziabad, Delhi NCR",1344.0,2.0,2.0
171,4630000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1520.0,3.0,2.0
172,2900000.0,"Crossings Republik, Ghaziabad, Delhi NCR",760.0,2.0,2.0
173,6000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1600.0,3.0,3.0
174,3600000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1015.0,2.0,2.0
175,3000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",850.0,2.0,2.0
176,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1200.0,2.0,2.0
177,3800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1050.0,2.0,2.0
178,7000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1898.0,4.0,3.0
179,6000000.0,"Crossings Republik, Ghaziabad, Sain Vihar, Ghaziabad, Delhi NCR",1700.0,3.0,2.0
180,6000000.0,"Crossings Republik, Ghaziabad, Uttar Pradesh, Crossings Republik, Ghaziabad, Delhi NCR",1895.0,3.0,3.0
181,2500000.0,"DLF Ankur Vihar, Ghaziabad, Delhi NCR",800.0,2.0,2.0
182,2700000.0,"DLF Ankur Vihar, Ghaziabad, Delhi NCR",900.0,2.0,2.0
183,3200000.0,"DLF Ankur Vihar, Ghaziabad, Delhi NCR",1100.0,3.0,2.0
184,2300000.0,"DLF Ankur Vihar, Ghaziabad, Delhi NCR",700.0,2.0,2.0
185,2830000.0,"DLF Ankur Vihar, Ghaziabad, Delhi NCR",880.0,2.0,2.0
186,2100000.0,"DLF Ankur Vihar, Ghaziabad, Delhi NCR",650.0,2.0,2.0
187,15900000.0,"DLF City Phase 1, Gurgaon, Delhi NCR",2000.0,3.0,3.0
188,45000000.0,"DLF City Phase 1, Gurgaon, Delhi NCR",5100.0,4.0,4.0
189,45000000.0,"DLF City Phase 2, Gurgaon, Cyber City, Gurgaon, Delhi NCR",4000.0,4.0,5.0
190,18500000.0,"DLF City Phase 2, Gurgaon, Delhi NCR",2092.0,3.0,3.0
191,22500000.0,"DLF City Phase 2, Gurgaon, Delhi NCR",2400.0,3.0,4.0
192,13500000.0,"DLF City Phase 2, Gurgaon, Delhi NCR",1600.0,3.0,3.0
193,45000000.0,"DLF City Phase 3, Gurgaon, Delhi NCR",5200.0,9.0,8.0
194,19000000.0,"DLF City Phase 5, Gurgaon, Delhi NCR",2400.0,3.0,3.0
195,18500000.0,"DLF City Phase 5, Gurgaon, Delhi NCR",1430.0,3.0,3.0
196,3000000.0,"DLF Dilshad Extention II, Ghaziabad, Delhi NCR",840.0,2.0,2.0
197,6500000.0,"Dabri, New Delhi - West, Delhi NCR",990.0,3.0,2.0
198,4200000.0,"Dabri, New Delhi - West, Delhi NCR",720.0,2.0,2.0
199,2700000.0,"Dasna, Ghaziabad, Delhi NCR",840.0,2.0,2.0
200,4900000.0,"Dasna, Ghaziabad, Delhi NCR",1525.0,3.0,2.0
201,3000000.0,"Dasna, Ghaziabad, Delhi NCR",840.0,2.0,2.0
202,5500000.0,"Dayanand Colony, Gurgaon, Delhi NCR",973.0,2.0,2.0
203,4500000.0,"Dayanand Colony, Gurgaon, Delhi NCR",810.0,3.0,3.0
204,7000000.0,"Dharam Colony, Gurgaon, Delhi NCR",1160.0,3.0,3.0
205,5000000.0,"Dilshad Colony, New Delhi - East, Delhi NCR",850.0,2.0,2.0
206,7000000.0,"Dilshad Colony, New Delhi - East, Delhi NCR",1500.0,4.0,3.0
207,32000000.0,"Dlf City Phase 4, Gurgaon, Delhi NCR",3200.0,4.0,4.0
208,25000000.0,"Dlf City Phase 4, Gurgaon, Delhi NCR",2400.0,4.0,4.0
209,4500000.0,"Dlf Dilshad Extension, Ghaziabad, Delhi NCR",1000.0,3.0,2.0
210,3200000.0,"Dlf Dilshad Extension, Ghaziabad, Delhi NCR",850.0,3.0,2.0
211,12000000.0,"Dwarka Expressway, Gurgaon, Delhi NCR",1835.0,3.0,3.0
212,11700000.0,"Dwarka Expressway, Gurgaon, Delhi NCR",1700.0,3.0,3.0
213,6500000.0,"Dwarka Expressway, Gurgaon, Delhi NCR",1225.0,3.0,2.0
214,6000000.0,"Dwarka Expy, Sector 92, Gurugram, Haryana, Sector 92, Gurgaon, Delhi NCR",1360.0,2.0,2.0
215,9500000.0,"Dwarka Expy, Sector 92, Gurugram, Haryana, Sector 92, Gurgaon, Delhi NCR",1935.0,3.0,3.0
216,9700000.0,"Dwarka Expy, Surat Nagar Phase 1, Sector 104, Gurugram, Haryana, Sector 104, Gurgaon, Delhi NCR",1647.0,3.0,3.0
217,10000000.0,"Dwarka Expy, Surat Nagar Phase 1, Sector 104, Gurugram, Haryana, Sector 104, Gurgaon, Delhi NCR",1712.0,3.0,3.0
218,4500000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",800.0,3.0,2.0
219,3500000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",850.0,3.0,2.0
220,5500000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",1200.0,3.0,2.0
221,5100000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",1001.0,3.0,2.0
222,3200000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",612.0,2.0,2.0
223,4000000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",1100.0,2.0,2.0
224,1900000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",540.0,2.0,2.0
225,3500000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",650.0,2.0,2.0
226,4300000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",950.0,3.0,2.0
227,3030000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",600.0,2.0,2.0
228,5000000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",1000.0,3.0,2.0
229,3000000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",650.0,2.0,2.0
230,5500000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",950.0,3.0,2.0
231,2900000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",590.0,2.0,2.0
232,17500000.0,"Dwarka Sector 10, New Delhi, Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",1800.0,3.0,3.0
233,21000000.0,"Dwarka Sector 11, New Delhi, Sector 11 Dwarka, New Delhi - Dwarka, Delhi NCR",2200.0,3.0,3.0
